id_producto,nombre_producto,categoria_producto,precio_producto,id_usuario,nombre_usuario,edad_usuario,genero_usuario,ubicacion_usuario,historial_compras,fecha_venta,cantidad_vendida,opiniones_usuarios,visitas_producto,carrito_abandonado,descuentos_aplicados,metodo_pago,frecuencia_compras,dispositivo_uso
1480,Producto D,Ropa,245.97,184,Ana,31,H,Ciudad C,"Producto D,Producto D,Producto C,Producto A",25/12/23,5,5,14,1,20,Tarjeta,Mensual,Tablet
1672,Producto C,Juguetes,264.95,155,Ana,28,M,Ciudad A,"Producto D,Producto C",3/04/23,7,2,1,0,20,Efectivo,Mensual,Móvil
1564,Producto D,Juguetes,328.95,185,Luis,60,M,Ciudad B,"Producto C,Producto B,Producto A",29/05/23,1,1,11,0,20,Tarjeta,Mensual,Tablet
1217,Producto B,Juguetes,241.86,194,Carlos,65,H,Ciudad A,Producto B,19/07/23,3,2,8,0,0,Transferencia,Semanal,Desktop
1013,Producto A,Hogar,328.93,148,Carlos,36,H,Ciudad C,"Producto A,Producto D,Producto B",9/07/23,6,3,7,0,5,Tarjeta,Semanal,Tablet
1945,Producto A,Ropa,285.74,105,Maria,20,M,Ciudad B,"Producto D,Producto D,Producto B",23/10/23,7,2,7,0,5,Transferencia,Trimestral,Móvil
1768,Producto A,Electronica,139.86,126,Luis,65,M,Ciudad B,"Producto C,Producto D",21/01/23,1,4,13,0,15,PayPal,Semanal,Desktop
1268,Producto C,Juguetes,146.16,121,Sofia,39,H,Ciudad C,Producto C,1/12/23,9,1,14,0,10,Transferencia,Trimestral,Móvil
1484,Producto B,Hogar,201.51,181,Luis,57,M,Ciudad C,"Producto C,Producto C,Producto A,Producto C",2/04/23,4,2,12,0,10,Tarjeta,Trimestral,Móvil
1984,Producto D,Hogar,367.04,108,Luis,34,M,Ciudad B,"Producto C,Producto B,Producto C",24/02/23,3,1,7,0,20,Efectivo,Semanal,Móvil
1372,Producto D,Electronica,269.01,108,Ana,41,H,Ciudad C,"Producto D,Producto A,Producto D,Producto C",1/12/23,2,2,4,0,5,Efectivo,Mensual,Desktop
1975,Producto D,Juguetes,125.14,160,Juan,19,H,Ciudad B,"Producto B,Producto A,Producto A,Producto D",3/06/23,2,4,1,1,10,PayPal,Mensual,Móvil
1088,Producto B,Hogar,337.26,129,Juan,41,H,Ciudad A,Producto A,10/09/23,9,3,13,0,10,Tarjeta,Mensual,Desktop
1545,Producto C,Hogar,465.13,185,Juan,57,H,Ciudad C,Producto B,28/09/23,4,3,17,1,5,PayPal,Mensual,Móvil
1572,Producto A,Ropa,195.12,111,Sofia,28,M,Ciudad B,"Producto C,Producto C",22/10/23,2,2,11,0,5,Transferencia,Mensual,Móvil
1652,Producto B,Hogar,10.08,152,Ana,22,H,Ciudad A,"Producto A,Producto B",30/12/23,8,5,14,0,5,PayPal,Semanal,Móvil
1265,Producto B,Juguetes,150.87,151,Carlos,44,H,Ciudad B,"Producto A,Producto D,Producto D,Producto D",21/08/23,9,5,16,0,15,Transferencia,Mensual,Tablet
1966,Producto C,Electronica,188.4,105,Maria,26,M,Ciudad A,Producto C,25/11/23,4,5,15,0,20,Transferencia,Mensual,Desktop
1428,Producto B,Ropa,22.67,131,Ana,67,M,Ciudad B,Producto A,27/05/23,8,2,19,0,0,Efectivo,Trimestral,Tablet
1999,Producto D,Electronica,421.05,183,Sofia,68,M,Ciudad C,"Producto B,Producto C,Producto D",8/11/23,6,3,15,1,0,Transferencia,Mensual,Desktop
1760,Producto A,Hogar,242.13,150,Carlos,56,H,Ciudad A,Producto A,22/11/23,6,5,9,0,5,Tarjeta,Mensual,Tablet
1694,Producto B,Electronica,405.42,152,Maria,34,H,Ciudad C,"Producto B,Producto B,Producto D",21/08/23,2,4,11,0,0,Efectivo,Semanal,Desktop
1839,Producto D,Hogar,170.82,179,Ana,34,H,Ciudad C,Producto C,16/05/23,8,4,11,0,5,PayPal,Semanal,Desktop
1152,Producto B,Juguetes,74.88,105,Carlos,49,H,Ciudad C,"Producto D,Producto B",6/05/23,3,2,5,1,15,Transferencia,Semanal,Desktop
1760,Producto B,Electronica,490.66,195,Carlos,55,M,Ciudad A,"Producto D,Producto A",22/11/23,1,4,2,1,20,Efectivo,Trimestral,Móvil
1273,Producto A,Electronica,326.81,171,Maria,45,H,Ciudad C,"Producto A,Producto D",27/12/23,9,2,9,0,5,Tarjeta,Mensual,Tablet
1931,Producto D,Electronica,363.89,135,Luis,50,M,Ciudad C,"Producto B,Producto D,Producto B,Producto B",15/05/23,6,1,18,0,15,Transferencia,Semanal,Tablet
1475,Producto A,Electronica,46.83,185,Juan,40,M,Ciudad C,"Producto D,Producto D",27/12/23,7,3,12,0,5,Transferencia,Semanal,Móvil
1877,Producto B,Electronica,381.39,115,Carlos,31,M,Ciudad B,"Producto D,Producto D,Producto B",19/09/23,8,1,6,0,0,PayPal,Trimestral,Desktop
1260,Producto D,Electronica,364.48,179,Juan,38,M,Ciudad C,"Producto D,Producto D,Producto A,Producto B",20/04/23,8,4,19,0,20,Efectivo,Trimestral,Tablet
1801,Producto C,Juguetes,466.24,101,Carlos,52,H,Ciudad B,"Producto A,Producto C,Producto C",31/03/23,9,3,1,0,10,PayPal,Semanal,Tablet
1902,Producto B,Ropa,436.96,121,Sofia,53,H,Ciudad A,"Producto D,Producto B",2/01/23,2,1,18,1,5,Efectivo,Mensual,Tablet
1863,Producto D,Ropa,167.19,106,Sofia,47,M,Ciudad C,"Producto C,Producto B,Producto C",14/06/23,5,5,4,0,15,Tarjeta,Semanal,Tablet
1597,Producto C,Hogar,150.21,126,Ana,47,H,Ciudad B,"Producto B,Producto D,Producto D",19/02/23,5,3,12,0,20,Transferencia,Mensual,Tablet
1853,Producto D,Hogar,43.03,116,Carlos,42,H,Ciudad C,"Producto D,Producto A,Producto C",19/05/23,7,3,15,0,5,Tarjeta,Mensual,Desktop
1487,Producto A,Hogar,162.39,146,Carlos,34,H,Ciudad C,"Producto A,Producto A,Producto C",15/09/23,2,2,6,0,0,Tarjeta,Semanal,Desktop
1897,Producto C,Ropa,346.3,183,Sofia,51,M,Ciudad C,"Producto A,Producto D",23/10/23,5,2,7,0,15,PayPal,Mensual,Desktop
1268,Producto D,Electronica,55.43,125,Juan,53,M,Ciudad A,"Producto A,Producto B",11/01/23,2,5,6,0,15,Tarjeta,Trimestral,Tablet
1801,Producto B,Hogar,471.84,106,Luis,54,H,Ciudad A,"Producto A,Producto C",23/03/23,3,1,8,0,20,Tarjeta,Mensual,Desktop
1459,Producto D,Ropa,321.18,121,Juan,27,H,Ciudad C,"Producto D,Producto D,Producto A,Producto D",22/06/23,8,4,10,0,10,Efectivo,Mensual,Tablet
1596,Producto B,Ropa,73.32,162,Juan,67,M,Ciudad C,"Producto D,Producto B,Producto A,Producto D",27/02/23,2,3,11,0,15,Efectivo,Semanal,Desktop
1876,Producto B,Hogar,105.91,103,Maria,48,H,Ciudad C,Producto A,20/04/23,6,2,5,1,5,Transferencia,Mensual,Móvil
1090,Producto D,Hogar,255.2,131,Juan,29,M,Ciudad B,Producto A,27/02/23,3,4,12,0,20,Transferencia,Mensual,Móvil
1279,Producto D,Ropa,226.56,129,Luis,53,M,Ciudad C,"Producto C,Producto B",29/06/23,3,3,7,0,5,Efectivo,Trimestral,Móvil
1522,Producto B,Hogar,169.11,196,Maria,36,H,Ciudad C,Producto B,20/04/23,5,4,18,0,15,Transferencia,Trimestral,Tablet
1665,Producto D,Ropa,410.64,125,Juan,65,H,Ciudad C,Producto C,8/08/23,7,2,6,0,0,PayPal,Mensual,Tablet
1257,Producto C,Ropa,223.77,126,Sofia,21,M,Ciudad B,Producto A,25/11/23,5,3,7,1,0,Transferencia,Mensual,Tablet
1763,Producto D,Electronica,128.8,131,Ana,19,M,Ciudad A,"Producto C,Producto B,Producto A,Producto D",15/04/23,6,4,4,1,0,Efectivo,Semanal,Tablet
1541,Producto D,Juguetes,389.13,163,Ana,56,M,Ciudad A,"Producto A,Producto D",4/02/23,5,3,7,1,5,Efectivo,Semanal,Móvil
1134,Producto D,Juguetes,164.71,177,Maria,35,H,Ciudad C,"Producto A,Producto C,Producto C,Producto A",8/02/23,4,1,6,0,15,Transferencia,Mensual,Tablet
1680,Producto D,Electronica,409.48,100,Ana,51,M,Ciudad C,"Producto A,Producto A,Producto C",18/06/23,9,4,18,0,20,Transferencia,Semanal,Desktop
1178,Producto A,Juguetes,461.06,127,Luis,48,H,Ciudad B,Producto B,5/10/23,1,3,1,1,0,PayPal,Semanal,Desktop
1689,Producto D,Electronica,447.96,151,Juan,44,H,Ciudad A,"Producto A,Producto C,Producto C,Producto A",8/12/23,3,1,14,0,20,Tarjeta,Semanal,Desktop
1624,Producto B,Hogar,431.08,131,Luis,48,H,Ciudad C,"Producto B,Producto C",7/10/23,3,2,2,1,0,Efectivo,Mensual,Tablet
1264,Producto B,Hogar,389.96,170,Sofia,50,M,Ciudad B,Producto C,9/04/23,8,3,16,0,5,PayPal,Semanal,Tablet
1751,Producto D,Electronica,65.32,164,Juan,25,M,Ciudad C,"Producto A,Producto B,Producto A",20/09/23,4,3,16,0,10,Tarjeta,Semanal,Tablet
1738,Producto A,Hogar,200.19,145,Carlos,64,M,Ciudad A,"Producto D,Producto B,Producto C",22/03/23,2,1,10,0,15,PayPal,Semanal,Tablet
1671,Producto B,Hogar,445.45,117,Juan,69,H,Ciudad A,Producto A,25/05/23,4,3,11,0,20,PayPal,Mensual,Móvil
1350,Producto C,Hogar,343.4,119,Juan,37,M,Ciudad B,"Producto C,Producto B",13/03/23,6,4,15,0,20,Tarjeta,Mensual,Desktop
1224,Producto D,Juguetes,315.11,144,Maria,39,H,Ciudad C,"Producto D,Producto C,Producto C",22/08/23,9,5,1,0,10,Transferencia,Mensual,Tablet
1674,Producto A,Hogar,161.89,122,Ana,35,M,Ciudad B,"Producto D,Producto C",31/08/23,6,2,15,0,15,Transferencia,Mensual,Móvil
1735,Producto D,Ropa,436.97,128,Juan,66,H,Ciudad C,"Producto B,Producto D,Producto D,Producto B",18/10/23,5,2,12,0,0,Transferencia,Semanal,Tablet
1982,Producto C,Juguetes,289.11,161,Carlos,26,M,Ciudad C,"Producto C,Producto C",5/10/23,2,5,2,0,5,Transferencia,Semanal,Desktop
1916,Producto C,Juguetes,290.21,101,Juan,46,M,Ciudad C,"Producto B,Producto B,Producto C,Producto B",7/11/23,8,1,7,1,10,PayPal,Semanal,Desktop
1573,Producto D,Electronica,90.04,106,Sofia,57,H,Ciudad B,"Producto D,Producto C,Producto C",13/03/23,5,4,19,0,5,Transferencia,Trimestral,Tablet
1748,Producto B,Hogar,211.58,111,Ana,22,H,Ciudad C,"Producto D,Producto B,Producto D,Producto C",10/08/23,2,5,12,0,20,PayPal,Mensual,Móvil
1681,Producto B,Hogar,283.46,180,Sofia,40,M,Ciudad A,"Producto B,Producto D,Producto B,Producto D",5/01/23,9,3,16,0,0,PayPal,Semanal,Móvil
1880,Producto C,Hogar,388.85,172,Ana,65,H,Ciudad B,Producto D,18/05/23,2,4,3,1,0,Transferencia,Semanal,Tablet
1747,Producto C,Juguetes,496.88,184,Sofia,64,M,Ciudad B,"Producto A,Producto C,Producto B,Producto B",13/01/23,9,4,16,1,20,PayPal,Mensual,Desktop
1442,Producto B,Ropa,373.79,143,Sofia,49,M,Ciudad C,Producto B,24/05/23,2,3,9,0,15,Efectivo,Mensual,Móvil
1271,Producto D,Hogar,372.21,168,Juan,22,H,Ciudad C,"Producto C,Producto C",15/03/23,9,3,7,1,5,PayPal,Semanal,Móvil
1429,Producto C,Juguetes,14.99,104,Luis,51,M,Ciudad B,Producto B,21/05/23,9,2,5,0,0,Efectivo,Trimestral,Móvil
1867,Producto B,Hogar,434.45,160,Carlos,63,M,Ciudad C,"Producto B,Producto A",11/12/23,1,2,6,1,20,PayPal,Trimestral,Desktop
1880,Producto A,Ropa,245.37,190,Luis,37,M,Ciudad C,"Producto D,Producto A,Producto D,Producto C",15/10/23,9,2,1,0,15,PayPal,Mensual,Móvil
1923,Producto C,Electronica,395.58,125,Ana,63,H,Ciudad B,Producto C,30/03/23,2,3,5,0,20,Efectivo,Semanal,Desktop
1701,Producto B,Juguetes,411.61,128,Sofia,24,H,Ciudad C,"Producto B,Producto B,Producto B",16/02/23,3,5,13,0,5,Transferencia,Mensual,Desktop
1930,Producto A,Hogar,199.47,149,Luis,22,H,Ciudad B,"Producto C,Producto A",18/01/23,6,1,4,0,10,Efectivo,Trimestral,Móvil
1215,Producto D,Juguetes,482.53,134,Luis,46,M,Ciudad B,"Producto D,Producto A,Producto B",28/12/23,5,4,3,0,20,Tarjeta,Semanal,Tablet
1270,Producto A,Ropa,115.57,105,Maria,52,H,Ciudad B,"Producto C,Producto D",10/03/23,1,5,10,1,5,PayPal,Trimestral,Móvil
1255,Producto D,Hogar,468.94,105,Carlos,61,H,Ciudad A,"Producto D,Producto A",27/12/23,9,5,15,0,15,PayPal,Semanal,Tablet
1431,Producto C,Juguetes,131.71,147,Juan,62,H,Ciudad B,Producto C,12/02/23,7,1,5,1,5,PayPal,Semanal,Móvil
1678,Producto D,Hogar,231.37,172,Carlos,47,M,Ciudad B,"Producto B,Producto C,Producto B",20/07/23,7,1,14,1,0,PayPal,Mensual,Desktop
1389,Producto D,Juguetes,146.77,192,Luis,18,H,Ciudad C,"Producto B,Producto A,Producto A",3/06/23,1,4,3,0,15,Efectivo,Semanal,Tablet
1983,Producto B,Ropa,59.32,130,Sofia,29,H,Ciudad A,Producto D,28/09/23,9,1,8,0,20,Efectivo,Semanal,Tablet
1746,Producto A,Ropa,335.9,195,Luis,34,M,Ciudad A,"Producto A,Producto B,Producto C,Producto D",23/05/23,6,4,6,1,5,Tarjeta,Semanal,Móvil
1949,Producto B,Hogar,10.57,183,Sofia,64,M,Ciudad C,"Producto C,Producto B,Producto B",18/08/23,6,2,17,1,15,Transferencia,Semanal,Desktop
1989,Producto D,Ropa,421.47,108,Juan,65,M,Ciudad C,"Producto D,Producto B,Producto D,Producto A",8/01/23,4,3,14,0,10,Efectivo,Trimestral,Móvil
1015,Producto C,Hogar,398.99,139,Carlos,22,H,Ciudad A,"Producto B,Producto C,Producto A,Producto D",9/04/23,9,5,6,0,0,PayPal,Trimestral,Tablet
1941,Producto C,Electronica,490.03,134,Ana,58,M,Ciudad A,"Producto D,Producto A,Producto A",4/01/23,3,1,3,0,0,Transferencia,Semanal,Tablet
1936,Producto B,Juguetes,217.16,150,Maria,56,M,Ciudad A,Producto C,30/11/23,1,4,8,0,20,Efectivo,Trimestral,Móvil
1473,Producto A,Hogar,455.03,199,Ana,34,H,Ciudad B,"Producto A,Producto D",7/06/23,6,5,16,0,10,Transferencia,Semanal,Tablet
1224,Producto C,Hogar,139.32,158,Carlos,38,H,Ciudad A,"Producto D,Producto D,Producto D,Producto A",21/08/23,3,4,3,1,15,Efectivo,Semanal,Tablet
1010,Producto B,Hogar,80.12,129,Sofia,53,H,Ciudad C,Producto B,17/12/23,7,1,17,1,15,Efectivo,Mensual,Móvil
1591,Producto B,Hogar,444.71,175,Ana,38,H,Ciudad C,Producto C,12/04/23,8,1,2,0,20,Transferencia,Semanal,Desktop
1744,Producto A,Hogar,89.09,169,Luis,64,H,Ciudad B,"Producto A,Producto D",15/07/23,9,2,5,0,0,Tarjeta,Mensual,Tablet
1017,Producto C,Juguetes,390.91,191,Carlos,32,H,Ciudad B,"Producto A,Producto D",30/08/23,7,3,17,0,15,Tarjeta,Trimestral,Móvil
1837,Producto C,Juguetes,73.07,144,Carlos,54,M,Ciudad B,"Producto B,Producto B",7/03/23,5,2,4,0,0,PayPal,Mensual,Tablet
1333,Producto A,Hogar,247.26,139,Ana,30,M,Ciudad B,"Producto D,Producto D,Producto B,Producto B",21/10/23,8,4,10,0,15,Tarjeta,Semanal,Desktop
1326,Producto C,Electronica,406.1,109,Sofia,46,H,Ciudad A,"Producto C,Producto C,Producto B,Producto B",24/04/23,8,1,19,0,20,Tarjeta,Mensual,Móvil
1575,Producto C,Ropa,37.0,162,Sofia,18,H,Ciudad A,Producto C,18/08/23,8,3,8,0,0,Transferencia,Semanal,Móvil
1093,Producto B,Hogar,303.1,127,Ana,32,H,Ciudad C,"Producto B,Producto C",22/05/23,8,4,6,0,0,Transferencia,Trimestral,Tablet
1644,Producto B,Hogar,382.6,162,Luis,39,H,Ciudad B,"Producto A,Producto A,Producto C,Producto A",11/04/23,3,5,7,0,5,Efectivo,Mensual,Móvil
1228,Producto A,Ropa,368.07,192,Sofia,58,M,Ciudad C,"Producto C,Producto D",9/03/23,7,2,7,0,5,Tarjeta,Semanal,Móvil
1866,Producto B,Ropa,336.79,121,Carlos,31,H,Ciudad C,"Producto A,Producto D,Producto D",3/04/23,6,5,8,0,5,Tarjeta,Semanal,Móvil
1694,Producto C,Hogar,270.89,158,Ana,24,H,Ciudad B,"Producto C,Producto C,Producto C",5/12/23,9,5,11,0,15,Transferencia,Semanal,Desktop
1650,Producto D,Juguetes,51.3,175,Luis,28,H,Ciudad C,"Producto A,Producto B,Producto B",2/05/23,5,2,19,0,0,PayPal,Semanal,Desktop
1834,Producto B,Electronica,111.21,178,Juan,25,M,Ciudad A,Producto D,3/07/23,5,4,10,1,10,Transferencia,Mensual,Desktop
1627,Producto A,Ropa,117.77,194,Luis,29,M,Ciudad A,"Producto D,Producto B",7/11/23,8,2,16,0,10,Transferencia,Trimestral,Desktop
1080,Producto A,Ropa,384.19,141,Ana,56,M,Ciudad A,Producto C,11/10/23,3,3,1,1,5,Transferencia,Trimestral,Móvil
1920,Producto A,Juguetes,410.48,135,Sofia,67,H,Ciudad B,Producto D,1/12/23,2,2,4,1,10,Efectivo,Mensual,Móvil
1547,Producto A,Electronica,220.08,124,Ana,20,H,Ciudad A,Producto C,6/06/23,7,1,16,0,5,Transferencia,Mensual,Desktop
1990,Producto C,Juguetes,178.95,149,Maria,21,M,Ciudad B,"Producto C,Producto B,Producto B,Producto B",10/06/23,8,1,2,0,5,PayPal,Semanal,Desktop
1503,Producto D,Electronica,187.89,106,Sofia,62,M,Ciudad B,"Producto D,Producto B,Producto B,Producto B",17/11/23,6,4,19,0,0,PayPal,Semanal,Móvil
1761,Producto B,Electronica,397.14,147,Maria,46,H,Ciudad B,"Producto C,Producto D,Producto A,Producto D",5/06/23,3,1,12,1,0,Efectivo,Mensual,Desktop
1677,Producto C,Hogar,24.42,104,Maria,27,M,Ciudad C,"Producto C,Producto B,Producto D,Producto C",21/04/23,5,1,2,0,10,Efectivo,Mensual,Desktop
1292,Producto B,Ropa,48.19,114,Carlos,30,H,Ciudad B,Producto A,8/08/23,3,1,6,0,15,Transferencia,Mensual,Móvil
1524,Producto A,Ropa,85.97,166,Juan,67,M,Ciudad B,"Producto A,Producto A,Producto C,Producto D",11/08/23,4,3,8,0,10,Transferencia,Semanal,Tablet
1142,Producto D,Ropa,117.58,175,Ana,33,M,Ciudad A,"Producto D,Producto D,Producto A,Producto D",14/07/23,9,1,15,0,5,PayPal,Semanal,Tablet
1125,Producto C,Electronica,204.93,153,Juan,68,M,Ciudad A,"Producto C,Producto D,Producto A",4/04/23,4,4,14,0,10,Tarjeta,Semanal,Desktop
1838,Producto D,Hogar,67.65,147,Sofia,32,M,Ciudad A,Producto B,18/12/23,1,1,11,0,10,Efectivo,Trimestral,Móvil
1416,Producto A,Juguetes,269.37,180,Luis,69,M,Ciudad B,"Producto D,Producto A,Producto A",7/06/23,9,1,1,0,0,Transferencia,Mensual,Desktop
1198,Producto B,Juguetes,402.46,137,Carlos,68,H,Ciudad C,"Producto C,Producto A",1/02/23,6,4,4,0,10,Transferencia,Trimestral,Móvil
1559,Producto D,Hogar,224.54,180,Ana,49,M,Ciudad C,"Producto A,Producto B",16/09/23,6,4,11,0,5,Transferencia,Semanal,Móvil
1023,Producto C,Electronica,98.74,174,Luis,19,H,Ciudad C,"Producto A,Producto A,Producto B",10/07/23,7,4,18,0,10,PayPal,Mensual,Desktop
1199,Producto B,Juguetes,307.97,120,Carlos,26,M,Ciudad A,"Producto B,Producto A,Producto A,Producto A",8/03/23,1,5,19,0,15,PayPal,Mensual,Desktop
1293,Producto A,Juguetes,10.07,106,Carlos,66,M,Ciudad B,"Producto A,Producto B,Producto B",2/06/23,5,2,13,0,15,PayPal,Mensual,Tablet
1277,Producto A,Ropa,76.06,170,Ana,59,H,Ciudad A,Producto C,11/12/23,9,5,7,0,15,Tarjeta,Semanal,Desktop
1586,Producto D,Hogar,175.46,130,Juan,29,H,Ciudad B,"Producto C,Producto A,Producto A",25/07/23,3,3,9,0,0,Tarjeta,Trimestral,Desktop
1979,Producto C,Juguetes,22.48,164,Juan,24,M,Ciudad C,Producto B,23/03/23,6,4,13,0,10,PayPal,Trimestral,Desktop
1835,Producto A,Ropa,272.91,136,Luis,24,M,Ciudad B,"Producto C,Producto A,Producto B,Producto B",2/12/23,3,3,2,0,15,Efectivo,Semanal,Móvil
1649,Producto C,Ropa,224.47,181,Juan,23,M,Ciudad C,"Producto A,Producto B",2/08/23,6,4,3,0,0,Tarjeta,Trimestral,Móvil
1031,Producto B,Electronica,320.28,126,Luis,68,M,Ciudad B,"Producto B,Producto B",12/02/23,7,4,7,0,0,Efectivo,Semanal,Móvil
1283,Producto C,Electronica,136.93,148,Juan,39,M,Ciudad A,"Producto C,Producto C,Producto C,Producto D",30/07/23,9,3,9,0,5,PayPal,Mensual,Desktop
1910,Producto C,Electronica,156.01,173,Juan,47,M,Ciudad A,"Producto D,Producto A",29/08/23,2,5,8,0,5,Tarjeta,Semanal,Desktop
1631,Producto A,Hogar,392.4,106,Juan,49,M,Ciudad B,"Producto A,Producto A,Producto B",31/10/23,3,5,2,0,10,Efectivo,Trimestral,Tablet
1296,Producto D,Juguetes,383.85,146,Ana,49,M,Ciudad A,Producto D,22/02/23,1,2,19,0,15,Tarjeta,Semanal,Móvil
1664,Producto B,Electronica,84.99,152,Juan,41,H,Ciudad B,"Producto C,Producto A,Producto C,Producto C",27/02/23,1,3,2,0,5,Efectivo,Mensual,Desktop
1248,Producto B,Electronica,167.53,145,Luis,67,M,Ciudad B,"Producto C,Producto A",14/01/23,9,4,15,0,15,Tarjeta,Mensual,Móvil
1567,Producto A,Juguetes,260.69,133,Ana,20,M,Ciudad C,"Producto C,Producto D,Producto C,Producto B",20/05/23,9,2,19,0,15,Tarjeta,Semanal,Desktop
1832,Producto B,Juguetes,37.82,103,Sofia,35,M,Ciudad B,"Producto D,Producto D,Producto C,Producto D",16/01/23,3,5,2,1,15,PayPal,Trimestral,Tablet
1285,Producto C,Electronica,341.95,189,Ana,32,M,Ciudad A,Producto D,13/08/23,6,1,17,0,20,Tarjeta,Mensual,Móvil
1199,Producto C,Juguetes,273.14,199,Maria,25,M,Ciudad A,"Producto C,Producto D",20/01/23,7,3,10,0,10,Transferencia,Trimestral,Desktop
1194,Producto A,Hogar,229.23,124,Carlos,31,M,Ciudad A,"Producto D,Producto A",28/08/23,5,3,7,0,15,Tarjeta,Semanal,Móvil
1222,Producto A,Ropa,273.29,198,Luis,49,M,Ciudad C,Producto C,3/03/23,3,3,5,0,5,PayPal,Trimestral,Desktop
1524,Producto D,Juguetes,34.11,185,Juan,54,M,Ciudad C,"Producto C,Producto D",12/05/23,6,3,2,0,5,Efectivo,Semanal,Móvil
1068,Producto C,Juguetes,273.45,165,Luis,69,H,Ciudad C,Producto A,10/01/23,9,5,10,1,10,Efectivo,Trimestral,Tablet
1093,Producto D,Juguetes,184.24,183,Sofia,32,H,Ciudad B,"Producto C,Producto A,Producto D",23/05/23,5,1,19,1,10,Tarjeta,Trimestral,Tablet
1879,Producto C,Ropa,235.18,183,Maria,34,M,Ciudad A,Producto A,6/06/23,4,3,5,0,20,PayPal,Semanal,Tablet
1826,Producto B,Electronica,77.07,178,Juan,69,H,Ciudad A,"Producto D,Producto A",2/01/23,7,1,5,0,5,Efectivo,Mensual,Tablet
1247,Producto C,Juguetes,51.74,180,Ana,37,M,Ciudad A,"Producto D,Producto C",27/07/23,2,2,16,0,20,Efectivo,Trimestral,Tablet
1708,Producto C,Electronica,423.97,185,Luis,46,M,Ciudad C,Producto A,5/09/23,8,4,11,0,0,Efectivo,Trimestral,Tablet
1608,Producto C,Hogar,491.82,138,Sofia,26,M,Ciudad A,"Producto C,Producto C,Producto A",27/03/23,6,3,9,0,10,PayPal,Semanal,Tablet
1154,Producto B,Juguetes,497.93,122,Sofia,47,H,Ciudad B,"Producto B,Producto A,Producto B",20/11/23,9,2,15,1,15,Tarjeta,Trimestral,Tablet
1606,Producto C,Juguetes,183.82,182,Ana,64,M,Ciudad C,"Producto A,Producto C",20/01/23,2,3,17,0,0,Efectivo,Mensual,Desktop
1350,Producto D,Electronica,112.28,124,Sofia,33,M,Ciudad A,Producto B,27/08/23,5,3,13,0,0,PayPal,Mensual,Tablet
1626,Producto C,Juguetes,395.9,107,Carlos,62,H,Ciudad C,"Producto D,Producto D,Producto D",8/04/23,1,1,19,0,20,Efectivo,Semanal,Desktop
1079,Producto B,Juguetes,485.94,128,Ana,23,M,Ciudad A,Producto B,11/06/23,4,3,8,0,0,Efectivo,Semanal,Móvil
